#FIELD,ID,X,Y,P_merg
STRIPE82-0045,SPLUS.STRIPE82-0045.27290.griz,3634.863,6533.141,0.999489426612854
STRIPE82-0047,SPLUS.STRIPE82-0047.19902.griz,4219.661,6698.8330000000005,0.9643425941467285
STRIPE82-0055,SPLUS.STRIPE82-0055.24059.griz,4996.425,6951.403,0.9832907915115356
STRIPE82-0059,SPLUS.STRIPE82-0059.22661.griz,6362.384,6040.0830000000005,0.9951180219650269
STRIPE82-0059,SPLUS.STRIPE82-0059.25256.griz,5695.194,6735.0419999999995,0.997442364692688
STRIPE82-0059,SPLUS.STRIPE82-0059.23790.griz,1571.354,6471.826,0.9980999827384949
STRIPE82-0069,SPLUS.STRIPE82-0069.29473.griz,8129.361999999999,6807.455,0.9986585378646851
STRIPE82-0071,SPLUS.STRIPE82-0071.25812.griz,9859.418,6829.8009999999995,0.9811867475509644
STRIPE82-0073,SPLUS.STRIPE82-0073.28807.griz,7568.099,6074.571,0.9904676079750061
STRIPE82-0077,SPLUS.STRIPE82-0077.30214.griz,2454.567,6488.009,0.9996240139007568
STRIPE82-0023,SPLUS.STRIPE82-0023.19924.griz,3831.07,8728.466999999999,0.9518495202064514
STRIPE82-0027,SPLUS.STRIPE82-0027.16843.griz,6787.811,9804.48,0.9660691022872925
STRIPE82-0027,SPLUS.STRIPE82-0027.19010.griz,2254.47,9159.99,0.9906274080276489
STRIPE82-0031,SPLUS.STRIPE82-0031.19381.griz,3302.605,9006.216999999999,0.9703288078308105
STRIPE82-0037,SPLUS.STRIPE82-0037.15970.griz,9672.484,9741.584,0.9766564965248108
STRIPE82-0047,SPLUS.STRIPE82-0047.14567.griz,7151.331,8818.434000000001,0.969882071018219
STRIPE82-0047,SPLUS.STRIPE82-0047.13092.griz,6512.847,9360.87,0.9999608993530273
STRIPE82-0049,SPLUS.STRIPE82-0049.35112.griz,8532.632,8847.639000000001,0.9904318451881409
STRIPE82-0051,SPLUS.STRIPE82-0051.35301.griz,3355.408,9151.73,0.998224675655365
STRIPE82-0053,SPLUS.STRIPE82-0053.18999.griz,3824.744,9249.174,0.950350821018219
