#FIELD,ID,P_merg,dr7objid_1,galcount,TType,objID,RA,Dec,X,Y,PhotoFlag,simple_class
STRIPE82-0021,SPLUS.STRIPE82-0021.11369.griz,0.9930956959724426,587731185136435323,141038,-1.9654618501663208,587731185136435323,14.3827,-0.9278,4129.326,4009.6209999999996,3,Ec
STRIPE82-0021,SPLUS.STRIPE82-0021.19778.griz,0.9863320589065552,587731186210046000,142696,-1.287371277809143,587731186210046000,14.0787,-0.1808,6119.418000000001,8898.709,3,Er
STRIPE82-0021,SPLUS.STRIPE82-0021.08246.griz,0.9957737326622009,588015507664863287,558555,0.6099281311035156,588015507664863287,13.9795,-1.0641,6768.2480000000005,3117.143,3,Ei
STRIPE82-0021,SPLUS.STRIPE82-0021.08075.griz,0.9973015785217285,588015507664863412,558569,-0.5301647186279297,588015507664863412,14.025,-1.0571,6470.621999999999,3163.3559999999998,3,Ec
STRIPE82-0021,SPLUS.STRIPE82-0021.03866.griz,0.9983075857162476,588015507664928991,558578,-2.2901148796081543,588015507664928991,14.1217,-1.2255,5837.991,2060.979,3,Er
STRIPE82-0021,SPLUS.STRIPE82-0021.06254.griz,0.9994593262672424,588015507664929009,558581,-0.02940201759338379,588015507664929009,14.14,-1.1295,5717.710999999999,2688.881,3,Ei
STRIPE82-0021,SPLUS.STRIPE82-0021.24039.griz,0.9666870832443237,588015508738670640,560819,-2.0260767936706543,588015508738670640,14.0728,-0.3696,6157.854,7663.1140000000005,3,Ei
STRIPE82-0021,SPLUS.STRIPE82-0021.24835.griz,0.9816309809684753,588015508738801701,560828,-2.3368005752563477,588015508738801701,14.4389,-0.41200000000000003,3761.433,7385.401,3,Ei
STRIPE82-0022,SPLUS.STRIPE82-0022.07855.griz,0.9610523581504822,588015509812215907,562956,4.553328037261963,588015509812215907,13.6782,0.5988,8740.293,4838.231,2,Ei
STRIPE82-0022,SPLUS.STRIPE82-0022.05396.griz,0.9996113181114197,588015509812543576,562983,-1.0148848295211792,588015509812543576,14.3791,0.4246,4153.209,3698.0,3,Ei
STRIPE82-0023,SPLUS.STRIPE82-0023.11209.griz,0.9926055669784546,587731511530881037,146995,-1.1113287210464478,587731511530881037,16.0865,-0.8815,2254.428,4311.958,3,Ec
STRIPE82-0023,SPLUS.STRIPE82-0023.25362.griz,0.9905459880828857,587731512067686545,147754,-1.7618433237075806,587731512067686545,15.975,-0.4407,2984.171,7197.433000000001,3,Er
STRIPE82-0023,SPLUS.STRIPE82-0023.19924.griz,0.9518495202064514,587731512604491907,148479,-2.1310067176818848,587731512604491907,15.8456,-0.2068,3831.07,8728.466999999999,3,Ei
STRIPE82-0023,SPLUS.STRIPE82-0023.05316.griz,0.9807544946670532,588015507665715240,558612,-1.6248890161514282,588015507665715240,15.9284,-1.1364,3289.258,2643.994,3,Er
STRIPE82-0023,SPLUS.STRIPE82-0023.12086.griz,0.9936200976371765,588015508202586239,559697,-2.3447227478027344,588015508202586239,15.9723,-0.8339,3001.865,4623.973,3,Er
STRIPE82-0023,SPLUS.STRIPE82-0023.21974.griz,0.9946718811988831,588015508739063963,560859,1.7685887813568115,588015508739063963,15.0486,-0.2981,9047.933,8130.854,3,Ec
STRIPE82-0023,SPLUS.STRIPE82-0023.22170.griz,0.9958307147026062,588015508739391547,560879,-1.5086673498153687,588015508739391547,15.8025,-0.2989,4113.412,8125.871,3,Ei
STRIPE82-0024,SPLUS.STRIPE82-0024.20125.griz,0.994127631187439,587731514215170117,150469,-2.271411418914795,587731514215170117,16.0721,1.2034,2349.055,8795.982,3,Er
STRIPE82-0024,SPLUS.STRIPE82-0024.01845.griz,0.9880315065383911,588015509275934803,561926,-0.9569586515426636,588015509275934803,15.0356,0.1044,9133.374,1601.9479999999999,3,Ei
STRIPE82-0024,SPLUS.STRIPE82-0024.08771.griz,0.9837963581085205,588015509813067854,563023,-2.333836078643799,588015509813067854,15.5934,0.4281,5481.94,3720.469,3,Er
STRIPE82-0024,SPLUS.STRIPE82-0024.27226.griz,0.9808886647224426,588015510350135382,564088,-2.231020927429199,588015510350135382,16.0122,0.8753,2740.7470000000003,6648.007,3,Ei
STRIPE82-0024,SPLUS.STRIPE82-0024.23711.griz,0.9969623684883118,588015510350200939,564094,5.273661136627197,588015510350200939,16.1404,1.026,1901.733,7634.9169999999995,2,Ei
STRIPE82-0025,SPLUS.STRIPE82-0025.17345.griz,0.9943946599960327,588015508203241550,559741,2.3608107566833496,588015508203241550,17.4258,-0.7383,2765.336,5249.9980000000005,3,Ei
STRIPE82-0026,SPLUS.STRIPE82-0026.37697.griz,0.9990967512130737,587731514215432360,150479,2.2003445625305176,587731514215432360,16.5832,1.1393,8279.716,8376.462,3,S
STRIPE82-0026,SPLUS.STRIPE82-0026.37428.griz,0.994702160358429,587731514215694430,150494,-2.365509510040283,587731514215694430,17.132,1.1478,4688.472,8431.431999999999,3,Er
STRIPE82-0026,SPLUS.STRIPE82-0026.03302.griz,0.9975468516349792,588015509276852238,561956,-0.808693528175354,588015509276852238,17.1082,0.1054,4843.896,1608.239,3,Ei
STRIPE82-0026,SPLUS.STRIPE82-0026.17774.griz,0.9958992600440979,588015509813657703,563052,5.35490083694458,588015509813657703,16.9573,0.6117,5831.741999999999,4922.65,3,S
STRIPE82-0027,SPLUS.STRIPE82-0027.09330.griz,0.9993610978126526,587731511531536565,147047,-2.1840381622314453,587731511531536565,17.724,-0.9393,10089.614,3933.615,3,Er
STRIPE82-0027,SPLUS.STRIPE82-0027.16843.griz,0.9660691022872925,587731512605540477,148530,-0.5815731287002563,587731512605540477,18.2285,-0.0425,6787.811,9804.48,0,Ei
STRIPE82-0027,SPLUS.STRIPE82-0027.19010.griz,0.9906274080276489,587731512605802730,148550,-2.046833038330078,587731512605802730,18.9211,-0.1409,2254.47,9159.99,3,Ei
STRIPE82-0028,SPLUS.STRIPE82-0028.03200.griz,0.9862819314002991,587731513142345836,149207,-1.4088038206100464,587731513142345836,18.1592,0.2126,7241.687,2310.356,3,Ei
STRIPE82-0028,SPLUS.STRIPE82-0028.04434.griz,0.9748133420944214,587731513142673728,149248,-1.493700623512268,587731513142673728,18.8833,0.2898,2501.638,2815.855,2,Er
STRIPE82-0028,SPLUS.STRIPE82-0028.02699.griz,0.9939338564872742,588015509277311075,561979,3.89412784576416,588015509277311075,18.2269,0.1869,6798.746999999999,2141.9139999999998,2,Ei
STRIPE82-0028,SPLUS.STRIPE82-0028.00889.griz,0.9970716238021851,588015509277311112,561982,-1.5893508195877075,588015509277311112,18.158,0.0864,7249.689,1483.815,3,Er
STRIPE82-0028,SPLUS.STRIPE82-0028.24043.griz,0.9740113019943237,588015510351249482,564133,4.870574951171875,588015510351249482,18.5312,0.8473,4806.579000000001,6464.764,3,Se
STRIPE82-0029,SPLUS.STRIPE82-0029.25501.griz,0.9998495578765869,587731512069193755,147820,2.51418399810791,587731512069193755,19.4401,-0.5073,8134.455,6761.905,3,Er
STRIPE82-0029,SPLUS.STRIPE82-0029.30072.griz,0.9999264478683472,587731512069586954,147846,0.7999613881111145,587731512069586954,20.2746,-0.4836,2672.07,6917.0869999999995,3,Ei
STRIPE82-0029,SPLUS.STRIPE82-0029.36856.griz,0.9629064798355103,588015508741095565,560955,2.6418159008026123,588015508741095565,19.6423,-0.2284,6810.931,8587.59,3,Ei
